Var1,Var2,Var3
strain [%],1st Norm. Str. Diff. (Lodge-Meissner) [Pa],shear stress [Pa]
0.7719,1.775e-05,0.002241
0.858,2.456e-05,0.002672
0.9538,3.199e-05,0.003128
1.06,3.996e-05,0.003582
1.179,4.902e-05,0.004047
1.31,5.988e-05,0.004532
1.456,7.303e-05,0.005049
1.619,8.939e-05,0.005598
1.799,0.0001092,0.006197
2,0.000134,0.00685
2.224,0.0001642,0.00757
2.472,0.0002025,0.008368
2.748,0.0002498,0.009257
3.054,0.00031,0.01025
3.395,0.0003847,0.01136
3.774,0.0004799,0.01261
4.195,0.0005959,0.01402
4.663,0.000741,0.01559
5.184,0.0009191,0.01735
5.762,0.001137,0.01933
6.406,0.001406,0.02155
7.12,0.001738,0.02406
7.915,0.00215,0.02687
8.799,0.002651,0.03004
9.781,0.003273,0.0336
10.87,0.004021,0.0376
12.09,0.004947,0.0421
13.43,0.006055,0.04713
14.93,0.007428,0.05277
16.6,0.009077,0.05906
18.45,0.01112,0.06606
20.51,0.01361,0.07383
22.8,0.01672,0.08241
25.35,0.02054,0.09187
28.18,0.0254,0.1022
31.32,0.03144,0.1136
34.82,0.03912,0.1259
38.7,0.04876,0.1391
43.02,0.06095,0.1534
47.82,0.07619,0.1686
53.16,0.09525,0.1847
59.09,0.1186,0.2017
65.69,0.1472,0.2195
73.02,0.1811,0.2381
81.17,0.2211,0.257
90.23,0.2665,0.2768
100.3,0.3177,0.2967
111.5,0.3712,0.3156
123.9,0.4288,0.3356
137.8,0.4928,0.3577
