run ,run_particle,frame_rate [fps],particle_type
1,1,60,S_3
2,2,60,S_3
3,3,60,S_3
4,4,60,S_3
5,6,60,S_3
6,7,60,S_3
7,8,60,S_3
8,9,60,S_3
9,10,60,S_3
10,11,60,S_3
11,12,60,S_3
12,13,60,S_3
13,14,60,S_3
14,15,60,S_3
15,1,16,S_1.5
16,2,20,S_1.5
17,3,25,S_1.5
18,4,25,S_1.5
19,5,25,S_1.5
20,6,25,S_1.5
21,7,25,S_1.5
22,8,25,S_1.5
23,9,25,S_1.5
24,10,25,S_1.5
25,1,5,D_3
26,2,12,D_3
27,3,15,D_3
28,4,15,D_3
29,5,15,D_3
30,6,15,D_3
31,7,15,D_3
32,8,15,D_3
33,9,15,D_3
34,10,15,D_3
35,11,15,D_3
36,1,10,D_2.5
37,2,10,D_2.5
38,3,10,D_2.5
39,4,10,D_2.5
40,5,10,D_2.5
41,6,10,D_2.5
42,7,10,D_2.5
43,8,10,D_2.5
44,9,10,D_2.5
45,10,10,D_2.5
46,11,10,D_2.5
47,1,5,D_2
48,2,8,D_2
49,3,8,D_2
50,4,8,D_2
51,5,8,D_2
52,6,8,D_2
53,7,8,D_2
54,8,8,D_2
55,9,8,D_2
56,10,8,D_2
57,11,8,D_2
58,1,5,D_1.5
59,2,5,D_1.5
60,3,8,D_1.5
61,4,8,D_1.5
62,5,8,D_1.5
63,6,8,D_1.5
64,7,8,D_1.5
65,8,8,D_1.5
66,9,8,D_1.5
67,10,8,D_1.5
